q4_results.state,q4_results.city,q4_results.severity,q4_results.accident_count,q4_results.avg_duration_minutes
NC,Burgaw,1,1,180.0
WA,Burien,1,1,45.48
VA,Burkeville,1,1,29.8
CA,Burlingame,1,12,40.78
MA,Burlington,1,11,33.9
NC,Burlington,1,11,109.72
NJ,Burlington,1,6,32.34
WA,Burlington,1,1,15.0
MN,Burnsville,1,4,37.1
PA,Burnt Cabins,1,1,159.77
IL,Burr Ridge,1,4,46.39
MI,Burton,1,11,36.52
MD,Burtonsville,1,3,39.75
FL,Bushnell,1,1,29.22
NC,Butner,1,2,154.5
CA,Butte City,1,1,45.97
CA,Buttonwillow,1,1,29.5
OR,Buxton,1,3,15.0
MA,Buzzards Bay,1,3,49.84
CA,Byron,1,14,46.21
MI,Byron Center,1,15,37.13
MD,Cabin John,1,2,27.48
TX,Caddo Mills,1,1,29.53
SC,Cades,1,2,55.4
CA,Calabasas,1,1,74.8
MI,Caledonia,1,9,48.85
AL,Calera,1,4,42.84
GA,Calhoun,1,1,74.42
CA,Calistoga,1,21,30.83
FL,Callahan,1,2,32.48
IL,Calumet City,1,3,45.08
NY,Calverton,1,1,47.12
CA,Camarillo,1,12,49.59
WA,Camas,1,2,15.0
CA,Cambria,1,2,81.64
NY,Cambria Heights,1,4,34.99
MA,Cambridge,1,23,41.04
MN,Cambridge,1,1,29.18
OH,Cambridge,1,1,30.0
NJ,Camden,1,3,21.66
SC,Camden,1,23,50.67
CA,Cameron Park,1,2,67.22
PA,Camp Hill,1,5,47.64
CA,Campbell,1,14,24.39
FL,Campbellton,1,1,77.85
SC,Campobello,1,21,46.9
NH,Campton,1,1,29.88
NY,Canaan,1,1,60.0
NY,Canajoharie,1,5,63.99
OH,Canal Winchester,1,6,54.45
OR,Canby,1,2,32.48
NC,Candler,1,2,78.5
KY,Caneyville,1,1,60.0
OH,Canfield,1,7,22.75
MN,Cannon Falls,1,2,29.51
GA,Canton,1,1,60.08
MA,Canton,1,25,54.65
MI,Canton,1,5,35.04
NC,Canton,1,5,89.4
OH,Canton,1,11,26.85
FL,Cantonment,1,11,51.11
MN,Canyon,1,1,44.72
CA,Canyon Country,1,3,39.86
CA,Capay,1,1,44.53
FL,Cape Canaveral,1,1,30.0
FL,Cape Coral,1,16,55.52
NJ,Cape May Court House,1,2,15.0
MD,Capitol Heights,1,6,35.81
CA,Capitola,1,5,58.9
CA,Cardiff by the Sea,1,2,44.13
LA,Carencro,1,19,47.11
OH,Carey,1,1,44.48
NY,Carle Place,1,1,29.92
AR,Carlisle,1,1,58.47
IA,Carlisle,1,1,29.82
PA,Carlisle,1,5,39.37
SC,Carlisle,1,2,44.75
CA,Carlsbad,1,8,47.76
NJ,Carlstadt,1,1,76.13
CA,Carmel,1,7,32.21
IN,Carmel,1,3,36.89
NY,Carmel,1,4,53.73
CA,Carmel Valley,1,6,42.37
CA,Carmel-by-the-Sea,1,1,29.7
CA,Carmichael,1,36,37.42
PA,Carnegie,1,2,78.08
CA,Carnelian Bay,1,1,60.8
IL,Carol Stream,1,32,36.54
CA,Carpinteria,1,3,51.35
